S_no,Country,City,City to country name
544,Italy,,Warangal to Italy
545,Portugal,,Agra to Portugal
546,Portugal,,Ahmedabad to Portugal
547,Portugal,,Amritsar to Portugal
548,Portugal,,Aurangabad to Portugal
549,Portugal,,Bawana Industrial Area to Portugal
550,Portugal,,Belagavi to Portugal
551,Portugal,,Bengaluru to Portugal
552,Portugal,,Bhilwara to Portugal
553,Portugal,,Bhopal to Portugal
554,Portugal,,Bhubaneswar to Portugal
555,Portugal,,Chennai to Portugal
556,Portugal,,Coimbatore to Portugal
557,Portugal,,Cuttack to Portugal
558,Portugal,,Dewas to Portugal
559,Portugal,,Dharwad to Portugal
560,Portugal,,Durgapur to Portugal
561,Portugal,,Erode to Portugal
562,Portugal,,Faridabad to Portugal
563,Portugal,,Gandhidham to Portugal
564,Portugal,,Gurugram to Portugal
565,Portugal,,Guntur to Portugal
566,Portugal,,Gwalior to Portugal
567,Portugal,,Howrah to Portugal
568,Portugal,,Hubballi to Portugal
569,Portugal,,Hyderabad to Portugal
570,Portugal,,Indore to Portugal
571,Portugal,,Jabalpur to Portugal
572,Portugal,,Jaipur to Portugal
573,Portugal,,Jalandhar to Portugal
574,Portugal,,Jodhpur to Portugal
575,Portugal,,Kakinada to Portugal
576,Portugal,,Kanpur to Portugal
577,Portugal,,Karimnagar to Portugal
578,Portugal,,Karnal to Portugal
579,Portugal,,Kolkata to Portugal
580,Portugal,,Kota to Portugal
581,Portugal,,Ludhiana to Portugal
582,Portugal,,Madurai to Portugal
583,Portugal,,Mangaluru to Portugal
584,Portugal,,Mohali to Portugal
585,Portugal,,Moradabad to Portugal
586,Portugal,,Mumbai to Portugal
587,Portugal,,Mundra to Portugal
588,Portugal,,Mysuru to Portugal
589,Portugal,,Nagpur to Portugal
590,Portugal,,Naraina to Portugal
591,Portugal,,Nashik to Portugal
592,Portugal,,New Delhi to Portugal
593,Portugal,,Nizamabad to Portugal
594,Portugal,,Noida to Portugal
595,Portugal,,Okhla to Portugal
596,Portugal,,Panipat to Portugal
597,Portugal,,Paradip to Portugal
598,Portugal,,Patiala to Portugal
599,Portugal,,Pune to Portugal
600,Portugal,,Rajkot to Portugal
601,Portugal,,Rourkela to Portugal
602,Portugal,,Siliguri to Portugal
603,Portugal,,Sonipat to Portugal
604,Portugal,,Surat to Portugal
605,Portugal,,Tirupati to Portugal
606,Portugal,,Tiruppur to Portugal
607,Portugal,,Udaipur to Portugal
608,Portugal,,Vadodara to Portugal
609,Portugal,,Varanasi to Portugal
610,Portugal,,Vijayawada to Portugal
611,Portugal,,Visakhapatnam to Portugal
612,Portugal,,Warangal to Portugal
613,Austria,,Agra to Austria
614,Austria,,Ahmedabad to Austria
615,Austria,,Amritsar to Austria
616,Austria,,Aurangabad to Austria
617,Austria,,Bawana Industrial Area to Austria
618,Austria,,Belagavi to Austria
619,Austria,,Bengaluru to Austria
620,Austria,,Bhilwara to Austria
621,Austria,,Bhopal to Austria
622,Austria,,Bhubaneswar to Austria
623,Austria,,Chennai to Austria
624,Austria,,Coimbatore to Austria
625,Austria,,Cuttack to Austria
626,Austria,,Dewas to Austria
627,Austria,,Dharwad to Austria
628,Austria,,Durgapur to Austria
629,Austria,,Erode to Austria
630,Austria,,Faridabad to Austria
631,Austria,,Gandhidham to Austria
632,Austria,,Gurugram to Austria
633,Austria,,Guntur to Austria
634,Austria,,Gwalior to Austria
635,Austria,,Howrah to Austria
636,Austria,,Hubballi to Austria
637,Austria,,Hyderabad to Austria
638,Austria,,Indore to Austria
639,Austria,,Jabalpur to Austria
640,Austria,,Jaipur to Austria
641,Austria,,Jalandhar to Austria
642,Austria,,Jodhpur to Austria
643,Austria,,Kakinada to Austria
644,Austria,,Kanpur to Austria
645,Austria,,Karimnagar to Austria
646,Austria,,Karnal to Austria
647,Austria,,Kolkata to Austria
648,Austria,,Kota to Austria
649,Austria,,Ludhiana to Austria
650,Austria,,Madurai to Austria
651,Austria,,Mangaluru to Austria
652,Austria,,Mohali to Austria
653,Austria,,Moradabad to Austria
654,Austria,,Mumbai to Austria
655,Austria,,Mundra to Austria
656,Austria,,Mysuru to Austria
657,Austria,,Nagpur to Austria
658,Austria,,Naraina to Austria
659,Austria,,Nashik to Austria
660,Austria,,New Delhi to Austria
661,Austria,,Nizamabad to Austria
662,Austria,,Noida to Austria
663,Austria,,Okhla to Austria
664,Austria,,Panipat to Austria
665,Austria,,Paradip to Austria
666,Austria,,Patiala to Austria
667,Austria,,Pune to Austria
668,Austria,,Rajkot to Austria
669,Austria,,Rourkela to Austria
670,Austria,,Siliguri to Austria
671,Austria,,Sonipat to Austria
672,Austria,,Surat to Austria
673,Austria,,Tirupati to Austria
674,Austria,,Tiruppur to Austria
675,Austria,,Udaipur to Austria
676,Austria,,Vadodara to Austria
677,Austria,,Varanasi to Austria
678,Austria,,Vijayawada to Austria
679,Austria,,Visakhapatnam to Austria
680,Austria,,Warangal to Austria
681,Belgium,,Agra to Belgium
682,Belgium,,Ahmedabad to Belgium
683,Belgium,,Amritsar to Belgium
684,Belgium,,Aurangabad to Belgium
685,Belgium,,Bawana Industrial Area to Belgium
686,Belgium,,Belagavi to Belgium
687,Belgium,,Bengaluru to Belgium
688,Belgium,,Bhilwara to Belgium
689,Belgium,,Bhopal to Belgium
690,Belgium,,Bhubaneswar to Belgium
691,Belgium,,Chennai to Belgium
692,Belgium,,Coimbatore to Belgium
693,Belgium,,Cuttack to Belgium
694,Belgium,,Dewas to Belgium
695,Belgium,,Dharwad to Belgium
696,Belgium,,Durgapur to Belgium
697,Belgium,,Erode to Belgium
698,Belgium,,Faridabad to Belgium
699,Belgium,,Gandhidham to Belgium
700,Belgium,,Gurugram to Belgium
701,Belgium,,Guntur to Belgium
702,Belgium,,Gwalior to Belgium
703,Belgium,,Howrah to Belgium
704,Belgium,,Hubballi to Belgium
705,Belgium,,Hyderabad to Belgium
706,Belgium,,Indore to Belgium
707,Belgium,,Jabalpur to Belgium
708,Belgium,,Jaipur to Belgium
709,Belgium,,Jalandhar to Belgium
710,Belgium,,Jodhpur to Belgium
711,Belgium,,Kakinada to Belgium
712,Belgium,,Kanpur to Belgium
713,Belgium,,Karimnagar to Belgium
714,Belgium,,Karnal to Belgium
715,Belgium,,Kolkata to Belgium
716,Belgium,,Kota to Belgium
717,Belgium,,Ludhiana to Belgium
718,Belgium,,Madurai to Belgium
719,Belgium,,Mangaluru to Belgium
720,Belgium,,Mohali to Belgium
721,Belgium,,Moradabad to Belgium
722,Belgium,,Mumbai to Belgium
723,Belgium,,Mundra to Belgium
724,Belgium,,Mysuru to Belgium
725,Belgium,,Nagpur to Belgium
726,Belgium,,Naraina to Belgium
727,Belgium,,Nashik to Belgium
728,Belgium,,New Delhi to Belgium
729,Belgium,,Nizamabad to Belgium
730,Belgium,,Noida to Belgium
731,Belgium,,Okhla to Belgium
732,Belgium,,Panipat to Belgium
733,Belgium,,Paradip to Belgium
734,Belgium,,Patiala to Belgium
735,Belgium,,Pune to Belgium
736,Belgium,,Rajkot to Belgium
737,Belgium,,Rourkela to Belgium
738,Belgium,,Siliguri to Belgium
739,Belgium,,Sonipat to Belgium
740,Belgium,,Surat to Belgium
741,Belgium,,Tirupati to Belgium
742,Belgium,,Tiruppur to Belgium
743,Belgium,,Udaipur to Belgium
744,Belgium,,Vadodara to Belgium
745,Belgium,,Varanasi to Belgium
746,Belgium,,Vijayawada to Belgium
747,Belgium,,Visakhapatnam to Belgium
748,Belgium,,Warangal to Belgium
749,Bulgaria,,Agra to Bulgaria
750,Bulgaria,,Ahmedabad to Bulgaria
751,Bulgaria,,Amritsar to Bulgaria
752,Bulgaria,,Aurangabad to Bulgaria
753,Bulgaria,,Bawana Industrial Area to Bulgaria
754,Bulgaria,,Belagavi to Bulgaria
755,Bulgaria,,Bengaluru to Bulgaria
756,Bulgaria,,Bhilwara to Bulgaria
757,Bulgaria,,Bhopal to Bulgaria
758,Bulgaria,,Bhubaneswar to Bulgaria
759,Bulgaria,,Chennai to Bulgaria
760,Bulgaria,,Coimbatore to Bulgaria
761,Bulgaria,,Cuttack to Bulgaria
762,Bulgaria,,Dewas to Bulgaria
763,Bulgaria,,Dharwad to Bulgaria
764,Bulgaria,,Durgapur to Bulgaria
765,Bulgaria,,Erode to Bulgaria
766,Bulgaria,,Faridabad to Bulgaria
767,Bulgaria,,Gandhidham to Bulgaria
768,Bulgaria,,Gurugram to Bulgaria
769,Bulgaria,,Guntur to Bulgaria
770,Bulgaria,,Gwalior to Bulgaria
771,Bulgaria,,Howrah to Bulgaria
772,Bulgaria,,Hubballi to Bulgaria
773,Bulgaria,,Hyderabad to Bulgaria
774,Bulgaria,,Indore to Bulgaria
775,Bulgaria,,Jabalpur to Bulgaria
776,Bulgaria,,Jaipur to Bulgaria
777,Bulgaria,,Jalandhar to Bulgaria
778,Bulgaria,,Jodhpur to Bulgaria
779,Bulgaria,,Kakinada to Bulgaria
780,Bulgaria,,Kanpur to Bulgaria
781,Bulgaria,,Karimnagar to Bulgaria
782,Bulgaria,,Karnal to Bulgaria
783,Bulgaria,,Kolkata to Bulgaria
784,Bulgaria,,Kota to Bulgaria
785,Bulgaria,,Ludhiana to Bulgaria
786,Bulgaria,,Madurai to Bulgaria
787,Bulgaria,,Mangaluru to Bulgaria
788,Bulgaria,,Mohali to Bulgaria
789,Bulgaria,,Moradabad to Bulgaria
790,Bulgaria,,Mumbai to Bulgaria
791,Bulgaria,,Mundra to Bulgaria
792,Bulgaria,,Mysuru to Bulgaria
793,Bulgaria,,Nagpur to Bulgaria
794,Bulgaria,,Naraina to Bulgaria
795,Bulgaria,,Nashik to Bulgaria
796,Bulgaria,,New Delhi to Bulgaria
797,Bulgaria,,Nizamabad to Bulgaria
798,Bulgaria,,Noida to Bulgaria
799,Bulgaria,,Okhla to Bulgaria
800,Bulgaria,,Panipat to Bulgaria
801,Bulgaria,,Paradip to Bulgaria
802,Bulgaria,,Patiala to Bulgaria
803,Bulgaria,,Pune to Bulgaria
804,Bulgaria,,Rajkot to Bulgaria
